date,vaccinazioni_totali,terza_dose,nuovi_vaccinati
2021-05-27,584360000.0,,16808857.0
2021-05-28,602991000.0,,17092571.0
2021-05-29,620974000.0,,17671714.0
2021-05-30,639172000.0,,18330571.0
2021-05-31,661468000.0,,19173571.0
2021-06-01,681908000.0,,19313429.0
2021-06-02,704826000.0,,19729000.0
2021-06-03,723486000.0,,19875143.0
2021-06-04,744483000.0,,20213143.0
2021-06-05,763065000.0,,20298714.0
2021-06-06,777879000.0,,19815286.0
2021-06-07,794134000.0,,18952286.0
2021-06-08,808962000.0,,18150571.0
2021-06-09,824856000.0,,17147143.0
2021-06-10,845299000.0,,17401857.0
2021-06-11,863513000.0,,17004286.0
2021-06-12,878523000.0,,16494000.0
2021-06-13,892770000.0,,16413000.0
2021-06-14,904134000.0,,15714286.0
2021-06-15,923910000.0,,16421143.0
2021-06-16,945150000.0,,17184857.0
2021-06-17,966652000.0,,17336143.0
2021-06-18,990257000.0,,18106286.0
2021-06-19,1010489000.0,,18852286.0
2021-06-20,1029223000.0,,19493286.0
2021-06-21,1049744000.0,,20801429.0
2021-06-22,1071783000.0,,21124714.0
2021-06-23,1095902000.0,,21536000.0
2021-06-24,1120643000.0,,21998714.0
2021-06-25,1143805000.0,,21935429.0
2021-06-26,1165230000.0,,22105857.0
2021-06-27,1185787000.0,,22366286.0
2021-06-28,1206714000.0,,22424286.0
2021-06-29,1225734000.0,,21993000.0
2021-06-30,1244675000.0,,21253286.0
2021-07-01,1264149000.0,,20500857.0
2021-07-02,1283175000.0,,19910000.0
2021-07-03,1296037000.0,,18686714.0
2021-07-04,1305499000.0,,17101714.0
2021-07-05,1318417000.0,,15957571.0
2021-07-06,1331669000.0,,15133571.0
2021-07-07,1342381000.0,,13958000.0
2021-07-08,1354226000.0,,12868143.0
2021-07-09,1365463000.0,,11755429.0
2021-07-10,1374162000.0,,11160714.0
2021-07-11,1382482000.0,,10997571.0
2021-07-12,1391432000.0,,10430714.0
2021-07-13,1402019000.0,,10050000.0
2021-07-14,1414609000.0,,10318286.0
2021-07-15,1426347000.0,,10303000.0
2021-07-16,1437623000.0,,10308571.0
2021-07-17,1447427000.0,,10466429.0
2021-07-18,1456557000.0,,10582143.0
2021-07-19,1467316000.0,,10840571.0
2021-07-20,1478484000.0,,10923571.0
2021-07-21,1491605000.0,,10999429.0
2021-07-22,1507605000.0,,11608286.0
2021-07-23,1524897000.0,,12467714.0
2021-07-24,1538707000.0,,13040000.0
2021-07-25,1550268000.0,,13387286.0
2021-07-26,1565872000.0,,14079429.0
2021-07-27,1583361000.0,,14982429.0
2021-07-28,1601249000.0,,15663429.0
2021-07-29,1619218000.0,,15944714.0
2021-07-30,1637395000.0,,16071143.0
2021-07-31,1652819000.0,,16301714.0
2021-08-01,1669527000.0,,17037000.0
2021-08-02,1688683000.0,,17544429.0
2021-08-03,1708356000.0,,17856429.0
2021-08-04,1726223000.0,,17853429.0
2021-08-05,1741812000.0,,17513429.0
2021-08-06,1757780000.0,,17197857.0
2021-08-07,1770304000.0,,16783571.0
2021-08-08,1782525000.0,,16142571.0
2021-08-09,1795049000.0,,15195143.0
2021-08-10,1808092000.0,,14248000.0
2021-08-11,1820238000.0,,13430714.0
2021-08-12,1832450000.0,,12948286.0
2021-08-13,1844382000.0,,12371714.0
2021-08-14,1853839000.0,,11933571.0
2021-08-15,1862928000.0,,11486143.0
2021-08-16,1875371000.0,,11474571.0
2021-08-17,1887273000.0,,11311571.0
2021-08-18,1900127000.0,,11412714.0
2021-08-19,1912419000.0,,11424143.0
2021-08-20,1924390000.0,,11429714.0
2021-08-21,1935869000.0,,11718571.0
2021-08-22,1946954000.0,,12003714.0
2021-08-23,1961893000.0,,12360286.0
2021-08-24,1975738000.0,,12637857.0
2021-08-25,1988433000.0,,12615143.0
2021-08-26,2003914000.0,,13070714.0
2021-08-27,2019549000.0,,13594143.0
2021-08-28,2032934000.0,,13866429.0
2021-08-29,2044625000.0,,13953000.0
2021-08-30,2055966000.0,,13439000.0
2021-08-31,2067589000.0,,13121571.0
2021-09-01,2076428000.0,,12570714.0
2021-09-02,2084650000.0,,11533714.0
2021-09-03,2092174000.0,,10375000.0
2021-09-04,2100387000.0,,9636143.0
2021-09-05,2107445000.0,,8974286.0
2021-09-06,2113083000.0,,8159571.0
2021-09-07,2119025000.0,,7348000.0
2021-09-08,2124582000.0,,6879143.0
2021-09-09,2129833000.0,,6454714.0
2021-09-10,2135240000.0,,6152286.0
2021-09-11,2142580000.0,,6027571.0
2021-09-12,2148120000.0,,5810714.0
2021-09-13,2152520000.0,,5633857.0
2021-09-14,2156938000.0,,5416143.0
2021-09-15,2161428000.0,,5263714.0
2021-09-16,2165679000.0,,5120857.0
2021-09-17,2170017000.0,,4968143.0
2021-09-18,2174043000.0,,4494714.0
2021-09-19,2177638000.0,,4216857.0
2021-09-20,2180986000.0,,4066571.0
2021-09-21,2182604000.0,,3666571.0
2021-09-22,2186583000.0,,3593571.0
2021-09-23,2190792000.0,,3587571.0
2021-09-24,2194467000.0,,3492857.0
2021-09-25,2197689000.0,,3378000.0
2021-09-26,2200202000.0,,3223429.0
2021-09-27,2203185000.0,,3171286.0
2021-09-28,2206054000.0,,3350000.0
2021-09-29,2208921000.0,,3191143.0
2021-09-30,2211452000.0,,2951429.0
2021-10-01,2212206000.0,,2534143.0
2021-10-02,2212961000.0,,2181714.0
